feature,importance
ab,-0.0739948549824955
ability,0.20698992603178767
able,-0.002518754510292923
academic,1.0277417669721558
accelerators,-0.00677966072096916
access,-0.010266400914983782
accessibility,-0.016927117841231583
accessible,-0.00764884003178698
achieve,0.20698992603178767
acquisition,-0.0048061647451625505
actionable,-0.008454167765498226
active,-0.037051913503732305
actively,-0.13530360492858778
adaptive,-0.00524023265702675
additionally,-0.03354510917112587
adept,0.08958629848571817
administration,-0.003745582696644236
administrator,-0.1429933792447295
adobe,-0.04801158712305256
adopting,-0.0009518534275749757
advanced,-0.0048061647451625505
advancements,-0.035254965614858934
adversarial,-0.022621690281460334
aesthetics,-0.0009385973814844816
agents,-0.015410300318086054
agile,-0.1501028073265867
agilescrum,-0.0919941795820022
ahead,-0.010761554238093878
ai,2.463225231445534
aiml,-0.002208790481026246
aiohttp,-0.008949417636262122
airflow,-0.05872976064796055
akka,-0.003974715376476001
alembic,-0.002831955842569707
alerting,-0.010711969080421966
alerts,-0.003128531439729733
algorithm,1.6783888262185789
algorithms,-0.07371256088971495
allocation,-0.04426359576489653
allowing,-0.002518754510292923
altofortinet,-0.035756776234637654
analysis,-0.20907135047140227
analyst,-0.14232617692681646
analytical,-0.009884741283296129
analytics,-0.08757733234499877
analyzing,-0.033966973623372226
android,-0.13398761101514095
angular,-0.04079338349447019
animation,-0.003774165933637409
animations,-0.00841489051572278
anomaly,-0.02984682310653681
ansible,-0.052969222198683615
apache,-0.008484960946673227
api,-0.07621322119239268
apidriven,-0.004905579665887593
apis,-0.13276905280017395
app,-0.11344107277434776
appealing,-0.011746696758690984
apple,-0.00197056904136024
application,-0.04436792766202955
applications,-0.14030404237655342
applying,-0.0048061647451625505
approach,-0.022757248858941998
approaches,-0.018951792064652802
apps,-0.06264202308036758
architect,-0.10469407219969244
architecting,-0.014136405208875786
architectural,-0.0031733583248506315
architecture,-0.09560380650935436
architectures,-0.06033582419823823
areas,-0.009986825156284535
aria,-0.006270308559234553
arkit,-0.00380162231145014
arm,-0.0023165761435863345
assessment,-0.03899203290707538
assessments,-0.0010994677362433166
assets,-0.0016838970755965216
assurance,-0.01432733036472449
asynchronous,-0.020124215675403952
asyncio,-0.008949417636262122
attending,-0.020302012349102536
attention,-0.005036533344301799
attributes,-0.006270308559234553
audio,-0.00524023265702675
audits,-0.013375502603069056
augmented,-0.008218233561578223
authentication,-0.03924606885078323
authorization,-0.02643842359553803
auto,-0.007041743186491526
automated,-0.051839459166067574
automating,-0.020999427134383568
automation,-0.04563197192127394
autonomous,-0.00677966072096916
autoscaling,-0.003717897592979373
availability,-0.08556981130786401
available,-0.003290870257916688
avfoundation,-0.0026293870405984555
aws,-0.09990939665535838
awsazure,-0.042168078241690214
