feature,importance
ab,-0.07399485498249546
ability,0.20698992603178767
able,-0.002518754510292921
academic,1.027741766972156
accelerators,-0.006779660720969146
access,-0.010266400914983792
accessibility,-0.016927117841231597
accessible,-0.007648840031786978
achieve,0.20698992603178767
acquisition,-0.004806164745162545
actionable,-0.008454167765498228
active,-0.03705191350373229
actively,-0.13530360492858778
adaptive,-0.005240232657026748
additionally,-0.033545109171125874
adept,0.08958629848571817
administration,-0.003745582696644236
administrator,-0.14299337924472952
adobe,-0.048011587123052556
adopting,-0.0009518534275749763
advanced,-0.004806164745162545
advancements,-0.03525496561485895
adversarial,-0.022621690281460285
aesthetics,-0.0009385973814844816
agents,-0.015410300318086026
agile,-0.1501028073265866
agilescrum,-0.09199417958200219
ahead,-0.010761554238093858
ai,2.463225231445533
aiml,-0.0022087904810262488
aiohttp,-0.008949417636262126
airflow,-0.05872976064796053
akka,-0.003974715376476
alembic,-0.0028319558425697034
alerting,-0.01071196908042197
alerts,-0.0031285314397297365
algorithm,1.6783888262185789
algorithms,-0.07371256088971487
allocation,-0.04426359576489652
allowing,-0.002518754510292921
altofortinet,-0.035756776234637626
analysis,-0.20907135047140227
analyst,-0.14232617692681637
analytical,-0.009884741283296122
analytics,-0.08757733234499873
analyzing,-0.03396697362337224
android,-0.1339876110151409
angular,-0.040793383494470196
animation,-0.0037741659336374116
animations,-0.008414890515722782
anomaly,-0.029846823106536774
ansible,-0.052969222198683615
apache,-0.008484960946673224
api,-0.07621322119239272
apidriven,-0.004905579665887586
apis,-0.13276905280017387
app,-0.11344107277434781
appealing,-0.01174669675869099
apple,-0.0019705690413602357
application,-0.04436792766202952
applications,-0.1403040423765534
applying,-0.004806164745162545
approach,-0.022757248858941988
approaches,-0.01895179206465277
apps,-0.0626420230803676
architect,-0.10469407219969244
architecting,-0.014136405208875796
architectural,-0.0031733583248506267
architecture,-0.09560380650935436
architectures,-0.0603358241982382
areas,-0.009986825156284507
aria,-0.006270308559234551
arkit,-0.0038016223114501414
arm,-0.002316576143586335
assessment,-0.03899203290707537
assessments,-0.0010994677362433185
assets,-0.0016838970755965218
assurance,-0.014327330364724482
asynchronous,-0.02012421567540395
asyncio,-0.008949417636262126
attending,-0.020302012349102547
attention,-0.005036533344301799
attributes,-0.006270308559234551
audio,-0.005240232657026748
audits,-0.01337550260306905
augmented,-0.008218233561578223
authentication,-0.03924606885078325
authorization,-0.02643842359553805
auto,-0.007041743186491527
automated,-0.05183945916606757
automating,-0.020999427134383578
automation,-0.04563197192127393
autonomous,-0.006779660720969146
autoscaling,-0.0037178975929793748
availability,-0.08556981130786398
available,-0.003290870257916693
avfoundation,-0.002629387040598457
aws,-0.09990939665535839
awsazure,-0.04216807824169022
awsazuregcp,-0.08397804235405706
azure,-0.09419284817347602
babel,-0.0016838970755965218
backbonejs,-0.0027121897291621593
backend,-0.1338086295500627
background,0.034079140371623365
backlog,-0.05403624306815929
backup,-0.053851547852369334
bagging,-0.00475336141840217
balancing,-0.04883862703099054
bangalore,-0.0019705690413602357
bash,-0.0017636966198917164
bashpython,-0.06162077294836175
basics,-0.06762601623245519
bayesian,-0.005820563262086036
behavior,-0.0038627573559111427
best,-0.04691396197909213
beta,-0.008218233561578223
bgpospf,-0.03923369850924796
big,-0.00974214480067039
biometric,-0.006347821477950602
blend,-0.003665319238885969
blockchain,-0.08852055659492404
blockchainbased,-0.0019705690413602357
blog,-0.0037980970099673705
blogging,-0.001955255560791214
blogs,-0.0237104488011428
bluegreen,-0.0034110286660823056
bluetooth,-0.00866545304410287
booking,-0.010368719979661727
boosting,-0.00475336141840217
boot,-0.02207439299389175
boundaries,-0.01839799807056727
bring,-0.0031733583248506267
bringing,0.1466478723115868
browsers,-0.00554863045062584
btech,-0.0019705690413602357
budget,-0.002518754510292921
budgeting,-0.03336061585880137
bug,-0.03885389109358348
build,-0.009953267339522657
building,-0.1647045059424032
bundle,-0.0016838970755965218
business,-0.1098954692098942
caching,-0.027088671660779603
calendar,-0.0077563388289454745
campaigns,-0.0060019950171576
capabilities,-0.006432526211675321
capable,-0.006442144081846078
capacity,-0.0034110286660823056
cart,-0.004050282731232921
case,-0.02495125761246498
